Title,Barcode,Sale Price,HSN Code,GST Rate,Product Details
Sesa,ase123,345.32,0103.00.00,12,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Assumenda harum, veritatis maxime ut quo excepturi optio eveniet asperiores, amet inventore, iure labore vitae non pariatur."
Hair Oyal,12sd,650.35,1001.00.00,18,"Lorem Ipsum, Dolor Sit Amet Consectetur Adipisicing Elit. Assumenda Harum, Veritatis Maxime Ut Quo Excepturi Optio Eveniet Asperiores, Amet Inventore, Iure Labore Vitae Non Pariatur."
G,12m,49.85,0103.91.00,0,"Lorem Ipsum, Dolor Sit Amet Consectetur Adipisicing Elit. Assumenda Harum, Veritatis Maxime Ut Quo Excepturi Optio Eveniet Asperiores, Amet Inventore, Iure Labore Vitae Non Pariatur."
Test,,0,0101.19.00,5,"Lorem Ipsum, Dolor Sit Amet Consectetur Adipisicing Elit. Assumenda Harum, Veritatis Maxime Ut Quo Excepturi Optio Eveniet Asperiores, Amet Inventore, Iure Labore Vitae Non Pariatur."
Electronics Watch,12afs,0,0101.21.00,12,"Is Good Electronics, Line Or Dot Used As Gradation For The Hours. Some Watches Do Not Have A Second Hand. When A Watch Has The Second Hand Connected To The Center, As Shown In The Figure, It Is Called A Center Second Watch."
Pen Drive,12asd,0,0101.20.00,0,"Backing Up, Transferring, Sharing, And Storing Files Is Convenient With This SanDisk Blade 64GB Pendrive.
Easy To Use
Compact In Design And With Generous Storage Space, This Flash Drive Lets You Start Storing And Transferring Files Immediately."
MI 33 PRO,12HJK,0,0204.42.00,28,"Get The Photographer In You To Light With Oppo K10. Designed Specifically For Camera Lovers This Phone Comes With A 50 MP Triple Camera Setup. Thanks To Its Varied Camera Features Such As Night Scape Mode, Night Flare Portraits, And Bokeh Mode Helps Captu"
Hair,12SD,0,0101.00.00,28,"Dabur Vatika Hair Oil Has The Goodness Of 100% Pure Coconut Oil Along With 10 Selected Ingredients
Each Ingredient Has Proven Hair Benefits In Ayurveda"
Hair Dryer,12hj,0,,12,"Quick Hair Dry With 1600 WSafety Automatic Overheat Cut-Out
2 Speed And 3 Heat Setting
Cool Shot Button
Convenient And Foldable Handle"
COCA COLA ,DSDGFHJ239038,0,0101.21.00,12,"The Seeds Are Sown From December To January In Small Plots (almacigas) Sheltered From The Sun, And The Young Plants When At 40 To 60 Centimetres (16 To 24 Inches) In Height Are Placed In Final Planting Holes (aspi), Or If The Ground Is Level, In Furrows ("
Go,sdf,0,0101.20.00,0,"П?? Nourishing Superfoods Made With Sprouted, Organic Ingredients To Help You Be Your Best Self ?"
Electronics Watch,12afs,0,0101.21.00,12,"Is Good Electronics, Line Or Dot Used As Gradation For The Hours. Some Watches Do Not Have A Second Hand. When A Watch Has The Second Hand Connected To The Center, As Shown In The Figure, It Is Called A Center Second Watch."
Pen Drive,12asd,0,0101.20.00,0,"Backing Up, Transferring, Sharing, And Storing Files Is Convenient With This SanDisk Blade 64GB Pendrive.
Easy To Use
Compact In Design And With Generous Storage Space, This Flash Drive Lets You Start Storing And Transferring Files Immediately."
MI 33 PRO,12HJK,0,0204.42.00,28,"Get The Photographer In You To Light With Oppo K10. Designed Specifically For Camera Lovers This Phone Comes With A 50 MP Triple Camera Setup. Thanks To Its Varied Camera Features Such As Night Scape Mode, Night Flare Portraits, And Bokeh Mode Helps Captu"
HairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHairHair,12SD,0,0101.00.00,28,"Dabur Vatika Hair Oil Has The Goodness Of 100% Pure Coconut Oil Along With 10 Selected Ingredients
Each Ingredient Has Proven Hair Benefits In Ayurveda"
